x,y
0.000000,32.650000
0.100000,32.783000
0.200000,32.916000
0.300000,33.049000
0.400000,33.182000
0.500000,33.315000
0.600000,33.448000
0.700000,33.581000
0.800000,33.714000
0.900000,33.847000
1.000000,33.980000
1.100000,34.113000
1.200000,34.246000
1.300000,34.379000
1.400000,34.512000
1.500000,34.645000
1.600000,34.778000
1.700000,34.911000
1.800000,35.044000
1.900000,35.177000
2.000000,35.310000
2.100000,35.443000
2.200000,35.576000
2.300000,35.709000
2.400000,35.842000
2.500000,35.975000
2.600000,36.108000
2.700000,36.241000
2.800000,36.374000
2.900000,36.507000
3.000000,36.640000
3.100000,36.773000
3.200000,36.906000
3.300000,37.039000
3.400000,37.172000
3.500000,37.305000
3.600000,37.438000
3.700000,37.571000
3.800000,37.704000
3.900000,37.837000
4.000000,37.970000
4.100000,38.103000
4.200000,38.236000
4.300000,38.369000
4.400000,38.502000
4.500000,38.635000
4.600000,38.768000
4.700000,38.901000
4.800000,39.034000
4.900000,39.167000
5.000000,39.300000
5.100000,39.433000
5.200000,39.566000
5.300000,39.699000
5.400000,39.832000
5.500000,39.965000
5.600000,40.098000
5.700000,40.231000
5.800000,40.364000
5.900000,40.497000
6.000000,40.630000
6.100000,40.763000
6.200000,40.896000
6.300000,41.029000
6.400000,41.162000
6.500000,41.295000
6.600000,41.428000
6.700000,41.561000
6.800000,41.694000
6.900000,41.827000
7.000000,41.960000
7.100000,42.093000
7.200000,42.226000
7.300000,42.359000
7.400000,42.492000
7.500000,42.625000
7.600000,42.758000
7.700000,42.891000
7.800000,43.024000
7.900000,43.157000
8.000000,43.290000
8.100000,43.423000
8.200000,43.556000
8.300000,43.689000
8.400000,43.822000
8.500000,43.955000
8.600000,44.088000
8.700000,44.221000
8.800000,44.354000
8.900000,44.487000
9.000000,44.620000
9.100000,44.753000
9.200000,44.886000
9.300000,45.019000
9.400000,45.152000
9.500000,45.285000
9.600000,45.418000
9.700000,45.551000
9.800000,45.684000
9.900000,45.817000
10.000000,45.950000
10.100000,46.083000
10.200000,46.216000
10.300000,46.349000
10.400000,46.482000
10.500000,46.615000
10.600000,46.748000
10.700000,46.881000
10.800000,47.014000
10.900000,47.147000
11.000000,47.280000
11.100000,47.413000
11.200000,47.546000
11.300000,47.679000
11.400000,47.812000
11.500000,47.945000
11.600000,48.078000
11.700000,48.211000
11.800000,48.344000
11.900000,48.477000
12.000000,48.610000
12.100000,48.743000
12.200000,48.876000
12.300000,49.009000
12.400000,49.142000
12.500000,49.275000
12.600000,49.408000
12.700000,49.541000
12.800000,49.674000
12.900000,49.807000
13.000000,49.940000
13.100000,50.073000
13.200000,50.206000
13.300000,50.339000
13.400000,50.472000
13.500000,50.605000
13.600000,50.738000
13.700000,50.871000
13.800000,51.004000
13.900000,51.137000
14.000000,51.270000
14.100000,51.403000
14.200000,51.536000
14.300000,51.669000
14.400000,51.802000
14.500000,51.935000
14.600000,52.068000
14.700000,52.201000
14.800000,52.334000
14.900000,52.467000
15.000000,52.600000
15.100000,52.733000
15.200000,52.866000
15.300000,52.999000
15.400000,53.132000
15.500000,53.265000
15.600000,53.398000
15.700000,53.531000
15.800000,53.664000
15.900000,53.797000
16.000000,53.930000
16.100000,54.063000
16.200000,54.196000
16.300000,54.329000
16.400000,54.462000
16.500000,54.595000
16.600000,54.728000
16.700000,54.861000
16.800000,54.994000
16.900000,55.127000
17.000000,55.260000
17.100000,55.393000
17.200000,55.526000
17.300000,55.659000
17.400000,55.792000
17.500000,55.925000
17.600000,56.058000
17.700000,56.191000
17.800000,56.324000
17.900000,56.457000
18.000000,56.590000
18.100000,56.723000
18.200000,56.856000
18.300000,56.989000
18.400000,57.122000
18.500000,57.255000
18.600000,57.388000
18.700000,57.521000
18.800000,57.654000
18.900000,57.787000
19.000000,57.920000
19.100000,58.053000
19.200000,58.186000
19.300000,58.319000
19.400000,58.452000
19.500000,58.585000
19.600000,58.718000
19.700000,58.851000
19.800000,58.984000
19.900000,59.117000
